거래일시,구분,금액,거래후잔액,상대방
2026-08-03 00:00:00,입금,842739,842739,최OO
2026-08-03 00:48:55,출금,770101,72638,타행이체
2026-08-03 17:30:42,입금,1257104,1329742,오OO
2026-08-03 18:39:08,출금,1084518,245224,타행이체
2026-08-04 00:21:32,입금,1040192,1285416,정OO
2026-08-04 01:07:44,출금,836694,448722,타행이체
2026-08-04 13:51:16,입금,1587075,2035797,오OO
2026-08-04 14:51:01,출금,1429409,606388,타행이체
2026-08-04 23:29:56,입금,1309292,1915680,오OO
2026-08-05 01:55:49,출금,1236691,678989,타행이체
2026-08-05 22:18:08,입금,1053870,1732859,조OO
2026-08-06 00:08:03,출금,961612,771247,타행이체
2026-08-05 22:51:14,입금,1515613,2286860,신OO
2026-08-06 00:24:15,출금,1338792,948068,타행이체
