거래일시,구분,금액,거래후잔액,상대방
2026-08-02 08:00:00,입금,3097478,3097478,김OO
2026-08-02 09:08:09,출금,2688037,409441,ATM 출금
2026-08-02 15:08:02,입금,2987026,3396467,장OO
2026-08-02 17:30:18,출금,2774391,622076,ATM 출금
2026-08-03 00:35:53,입금,2375588,2997664,권OO
2026-08-03 03:26:14,출금,2069434,928230,ATM 출금
2026-08-03 13:22:51,입금,2255079,3183309,임OO
2026-08-03 15:23:24,출금,2159638,1023671,ATM 출금
2026-08-03 22:35:03,입금,3361075,4384746,정OO
2026-08-04 01:00:32,출금,2864183,1520563,ATM 출금
2026-08-04 06:59:46,입금,1459714,2980277,강OO
2026-08-04 09:44:50,출금,1391951,1588326,ATM 출금
2026-08-04 18:05:57,입금,1111766,2700092,임OO
2026-08-04 20:31:23,출금,1084771,1615321,ATM 출금
