거래일시,구분,금액,거래후잔액,상대방
2026-06-14 11:04:00,입금,197661,197661,장OO
2026-08-27 01:33:46,입금,593972,791633,조OO
2026-08-27 04:57:02,출금,383771,407862,이체
2026-08-28 04:50:14,입금,512940,920802,정OO
2026-08-28 08:57:14,출금,323773,597029,이체
2026-08-29 02:01:40,입금,754533,1351562,임OO
2026-08-29 05:46:09,출금,371513,980049,이체
2026-08-29 17:24:22,입금,781444,1761493,윤OO
2026-08-29 19:04:30,출금,405561,1355932,이체
2026-08-30 09:24:05,입금,1320685,2676617,이OO
2026-08-30 14:10:41,출금,832328,1844289,이체
2026-08-31 05:19:02,입금,1146624,2990913,최OO
2026-08-31 06:51:33,출금,517920,2472993,이체
2026-08-31 23:13:52,입금,1382495,3855488,임OO
2026-09-01 03:40:48,출금,774274,3081214,이체
