거래일시,구분,금액,거래후잔액,상대방
2026-08-04 01:00:00,입금,831756,831756,한OO
2026-08-04 02:06:45,출금,549757,281999,ATM 출금
2026-08-05 00:57:23,입금,433470,715469,강OO
2026-08-05 02:27:14,출금,282474,432995,ATM 출금
2026-08-07 03:26:16,입금,482480,915475,임OO
2026-08-07 04:23:21,출금,346987,568488,ATM 출금
2026-08-07 00:26:31,입금,600850,1169338,강OO
2026-08-07 02:07:14,출금,446230,723108,ATM 출금
2026-08-08 02:39:52,입금,763246,1486354,한OO
2026-08-08 03:29:06,출금,526085,960269,ATM 출금
2026-08-10 04:40:34,입금,477934,1438203,이OO
2026-08-10 05:36:06,출금,365878,1072325,ATM 출금
2026-08-11 05:52:07,입금,397923,1470248,서OO
2026-08-11 06:43:16,출금,248370,1221878,ATM 출금
2026-08-12 23:56:04,입금,454511,1676389,김OO
2026-08-13 00:48:06,출금,313637,1362752,ATM 출금
