거래일시,구분,금액,거래후잔액,상대방
2026-06-12 15:40:00,입금,112726,112726,최OO
2026-06-21 14:03:00,입금,121203,233929,박OO
2026-08-27 01:53:09,입금,1913674,2147603,한OO
2026-08-27 02:58:05,출금,1563536,584067,타행이체
2026-08-28 13:55:52,입금,1131226,1715293,한OO
2026-08-28 16:46:07,출금,1073904,641389,타행이체
2026-08-28 23:31:41,입금,1790702,2432091,한OO
2026-08-29 01:57:18,출금,1434138,997953,타행이체
2026-08-29 02:45:02,입금,1218289,2216242,조OO
2026-08-29 03:57:51,출금,986884,1229358,타행이체
2026-08-29 22:54:01,입금,1287001,2516359,권OO
2026-08-30 01:42:15,출금,1121029,1395330,타행이체
2026-08-30 13:36:04,입금,876210,2271540,서OO
2026-08-30 15:20:23,출금,840481,1431059,타행이체
