거래일시,구분,금액,거래후잔액,상대방
2026-06-23 09:25:00,입금,108005,108005,오OO
2026-07-02 16:33:00,입금,103248,211253,조OO
2026-08-29 08:24:57,입금,3320756,3532009,권OO
2026-08-29 11:10:05,출금,3161363,370646,ATM 출금
2026-08-29 14:11:14,입금,1822887,2193533,조OO
2026-08-29 15:52:38,출금,1708006,485527,ATM 출금
2026-08-29 19:39:41,입금,3309562,3795089,한OO
2026-08-29 23:29:31,출금,3024133,770956,ATM 출금
2026-08-30 04:14:30,입금,3049425,3820381,오OO
2026-08-30 07:10:00,출금,2833097,987284,ATM 출금
2026-08-30 09:15:04,입금,2477133,3464417,박OO
2026-08-30 10:40:15,출금,2315263,1149154,ATM 출금
2026-08-30 14:21:19,입금,3273886,4423040,한OO
2026-08-30 18:13:37,출금,3052553,1370487,ATM 출금
