거래일시,구분,금액,거래후잔액,상대방
2026-06-02 12:47:00,입금,914013,914013,서예은
2026-06-08 12:51:00,입금,1308959,2222972,한건우
2026-06-10 15:57:00,입금,1291597,3514569,서예은
2026-06-11 11:56:00,출금,328710,3185859,인건비
2026-06-12 10:31:00,출금,436350,2749509,관리비
2026-06-17 11:20:00,입금,743254,3492763,윤채원
2026-06-22 13:16:00,입금,519946,4012709,윤채원
2026-06-26 17:34:00,입금,842042,4854751,정다은
2026-07-06 15:26:00,입금,479688,5334439,윤채원
2026-07-09 12:16:00,입금,1334884,6669323,한건우
2026-07-11 12:02:00,입금,1322369,7991692,강지호
2026-07-11 14:01:00,출금,376368,7615324,인건비
2026-07-12 11:18:00,입금,786814,8402138,권채원
2026-07-18 14:57:00,입금,472306,8874444,윤민준
2026-07-22 17:22:00,입금,1003766,9878210,강지호
2026-07-25 17:40:00,입금,1153252,11031462,서예은
2026-07-26 17:17:00,입금,1212270,12243732,한건우
2026-08-03 12:55:00,입금,1169440,13413172,정다은
2026-08-09 10:28:00,입금,726147,14139319,서예은
2026-08-09 14:52:00,입금,1190870,15330189,장소율
2026-08-11 11:05:00,출금,311211,15018978,인건비
2026-08-11 14:06:00,입금,443064,15462042,윤민준
2026-08-14 13:14:00,입금,1185408,16647450,장소율
2026-08-15 17:17:00,입금,1052483,17699933,장소율
2026-08-21 14:20:00,입금,1095205,18795138,장소율
2026-08-24 10:48:00,입금,421369,19216507,권채원
2026-08-29 12:09:00,입금,1081725,20298232,서예은
