거래일시,구분,금액,거래후잔액,상대방
2026-06-02 13:01:00,입금,142298,142298,강OO
2026-06-05 13:44:00,입금,154534,296832,장OO
2026-06-06 15:15:00,입금,224622,521454,한OO
2026-06-08 11:05:00,입금,265572,787026,한OO
2026-06-15 11:21:00,입금,116790,903816,장OO
2026-06-15 12:51:00,입금,83026,986842,한OO
2026-06-21 13:11:00,출금,151948,834894,통신비
2026-06-26 18:18:00,출금,172767,662127,통신비
2026-07-04 21:19:00,입금,260999,923126,장OO
2026-07-06 13:52:00,입금,232462,1155588,한OO
2026-07-18 13:01:00,입금,275899,1431487,한OO
2026-07-25 18:47:00,입금,265367,1696854,한OO
2026-07-29 17:55:00,출금,172141,1524713,생활비
2026-07-30 20:24:00,입금,98707,1623420,장OO
2026-08-03 15:42:00,입금,95367,1718787,강OO
2026-08-08 19:07:00,입금,293667,2012454,장OO
2026-08-14 10:12:00,입금,146411,2158865,장OO
2026-08-19 21:06:00,입금,247525,2406390,한OO
2026-08-24 15:19:00,입금,148773,2555163,한OO
2026-08-26 19:37:00,입금,102560,2657723,강OO
