거래일시,구분,금액,거래후잔액,상대방
2026-06-02 12:24:00,입금,450647,450647,본인(급여)
2026-06-03 12:46:02,출금,201367,249280,정기적금 이체
2026-06-13 18:45:00,입금,437118,686398,윤OO
2026-06-22 10:04:00,입금,553480,1239878,본인(급여)
2026-06-23 01:24:57,출금,193487,1046391,정기적금 이체
2026-07-01 11:54:00,입금,702810,1749201,윤OO
2026-07-12 18:38:00,입금,467457,2216658,본인(급여)
2026-07-24 16:13:00,입금,499055,2715713,윤OO
2026-08-01 14:09:00,입금,822987,3538700,본인(급여)
2026-08-11 09:54:00,입금,712344,4251044,윤OO
2026-08-12 15:14:01,출금,244354,4006690,정기적금 이체
2026-08-21 09:30:00,입금,818934,4825624,본인(급여)
2026-08-22 12:21:25,출금,355830,4469794,정기적금 이체
