거래일시,구분,금액,거래후잔액,상대방
2026-08-04 22:00:00,입금,1200000,1200000,김OO
2026-08-05 00:00:00,출금,1080000,120000,타행이체
2026-08-05 04:30:00,입금,1300000,1420000,이OO
2026-08-05 06:30:00,출금,1170000,250000,타행이체
2026-08-05 11:00:00,입금,1400000,1650000,박OO
2026-08-05 13:00:00,출금,1260000,390000,타행이체
2026-08-05 17:30:00,입금,1500000,1890000,최OO
2026-08-05 19:30:00,출금,1350000,540000,타행이체
2026-08-06 00:00:00,입금,1600000,2140000,정OO
2026-08-06 02:00:00,출금,1440000,700000,타행이체
2026-08-06 06:30:00,입금,1700000,2400000,조OO
2026-08-06 08:30:00,출금,1530000,870000,타행이체
2026-08-06 13:00:00,입금,1800000,2670000,강OO
2026-08-06 15:00:00,출금,1620000,1050000,타행이체
2026-08-06 12:00:00,출금,80000,970000,ATM 출금
2026-08-06 13:12:00,출금,80000,890000,ATM 출금
2026-08-06 14:24:00,출금,80000,810000,ATM 출금
2026-08-06 15:36:00,출금,80000,730000,ATM 출금
2026-08-06 16:48:00,출금,80000,650000,ATM 출금
2026-08-06 18:00:00,출금,80000,570000,ATM 출금
2026-08-06 19:12:00,출금,80000,490000,ATM 출금
2026-08-06 20:24:00,출금,80000,410000,ATM 출금
2026-08-06 21:36:00,출금,80000,330000,ATM 출금
2026-08-06 22:48:00,출금,80000,250000,ATM 출금
2026-08-07 00:00:00,출금,80000,170000,ATM 출금
2026-08-07 01:12:00,출금,80000,90000,ATM 출금
2026-08-07 02:24:00,출금,80000,10000,ATM 출금
2026-08-07 03:36:00,출금,80000,0,ATM 출금
2026-08-07 04:48:00,출금,80000,0,ATM 출금
2026-08-07 06:00:00,출금,80000,0,ATM 출금
2026-08-07 07:12:00,출금,80000,0,ATM 출금
2026-08-07 08:24:00,출금,80000,0,ATM 출금
2026-08-07 09:36:00,출금,80000,0,ATM 출금
2026-08-07 10:48:00,출금,80000,0,ATM 출금
2026-08-07 12:00:00,출금,80000,0,ATM 출금
2026-08-07 13:12:00,출금,80000,0,ATM 출금
2026-08-07 14:24:00,출금,80000,0,ATM 출금
2026-08-07 15:36:00,출금,80000,0,ATM 출금
